name,주소,위도,경도
청수약국 옆,서울 은평구 녹번동 141-90,37.608535,126.926422
연신내경희한의원,서울 은평구 불광동 357-13,37.620941,126.924994
송파참설농탕,서울 송파구 송파동 1-9,37.509049,127.111667
오금동사거리 버스정류장,서울 송파구 오금동 127-16,37.502766,127.137765
SC제일은행 개봉동지점,서울 구로구 개봉동 403-77,37.488491,126.856421
태양어린이공원,서울 관악구 신림동 1540,37.469127,126.936526
또바기기사식당,서울 관악구 봉천동 982-4,37.486312,126.937252
경남아너스빌아파트 입구,서울 동작구 사당로9가길 58,37.487453,126.968688
화인빌딩 앞,서울 강남구 개포동 1211-8,37.478503,127.051981
우리은행 대림동지점,서울 동작구 신대방동 607-7,37.4898175,126.907706
신성빌딩(보생사약국),서울 영등포구 신길동 470-1,37.513002,126.922783
KT동작지사 앞 대방동,서울 동작구 대방동 45-52,37.512342,126.934332
강남교회 뒤,서울 동작구 만양로8길 69,37.51037,126.945486
우리은행 가락남부지점,서울 송파구 가락동 137,37.492829,127.128195
빌라드그리움,서울 송파구 석촌동 256-5,37.500219,127.104091
삼전지구대 앞,서울 송파구 삼전동 86,37.502814,127.092632
SC제일은행 자양서지점,서울 광진구 자양동 580-13,37.533429,127.075467
서울숲힐스테이트A 101동앞도로,서울 성동구 성수동2가 334-3,37.541628,127.051151
에이스침대,서울 광진구 중곡동 636-5,37.559103,127.075502
용마빌라,서울 광진구 중곡동 18-25,37.566335,127.086856
동작교육구청,서울 동작구 상도동 175-1,37.50318702,126.9405858
우리식품 건너,서울 동작구 상도1동 508-1,37.507278,126.95144
동양중학교,서울 동작구 본동 485-2,37.50941,126.954742
삼호아파트 2동앞,서울 서초구 방배동 769-2,37.495295,126.986362
상명달공원,서울 서초구 서초동 1747-1,37.482181,127.005693
유한공고버스정류장,서울 구로구 오류동 108-74,37.48945,126.825318
하나로농협 앞 가양1동,서울 강서구 가양동 150-34,37.568652,126.841524
유동빌딩 앞,서울 강서구 염창동 263-8,37.549052,126.875639
수색우체국 앞,서울 은평구 수색동 101-7,37.581742,126.89654
리드힐병원,서울 은평구 역촌동 44-34,37.599926,126.916796
금화초교정류장,서울 서대문구 냉천동 221-1,37.567852,126.964367
새꿈어린이공원,서울 용산구 동자동 19-107,37.552281,126.974288
다이소 효창공원역점,서울 용산구 용문동 5-133,37.538853,126.960941
289종점 위 서림동,서울 관악구 신림동 131-19,37.470903,126.939097
윤희빌딩 앞,서울 강남구 역삼동 730-5,37.499162,127.043991
역삼SK리더스뷰,서울 강남구 역삼동 680,37.50871,127.039343
논현성당,서울 강남구 논현동 175,37.510302,127.031884
화곡1동 유림노르웨이숲아파트,서울 강서구 화곡동 919-1,37.530174,126.843902
모래내어린이공원,서울 관악구 봉천동 1613-19,37.477853,126.955512
집앤사비키아파트,서울 강동구 성내동 545-8,37.527428,127.128658
라벨르빌딩,서울 마포구 신수동 49-6,37.547484,126.938995
번동프라자약국,서울 강북구 번동 430-68,37.634859,127.035529
창동레지던시,서울 도봉구 창동 601-107,37.640701,127.039412
풍납토성,서울 송파구 풍납동 155-2,37.53442,127.119545
강남면허시험장 건너,서울 강남구 대치동 999-5,37.507972,127.066815
가산동삼거리 입구,서울 금천구 가산동 239-27,37.47437,126.88687
수락산역 1번출구 뒤,서울 노원구 상계동 1268,37.678981,127.055813
세민하이파크아파트 건너,서울 은평구 신사동 30-10,37.596056,126.909933
다원아파트 앞,서울 은평구 응암동 107-2,37.597492,126.920508
희망약국,서울 은평구 대조동 224-26,37.611162,126.91786
주성드림팰리스,서울 송파구 가락동 160,37.501122,127.128851
대우약국,서울 중랑구 묵동 182-21,37.606426,127.078856
망우1동우체국,서울 중랑구 망우동 340-27,37.600367,127.1016
DNA남부오토바이,서울 금천구 독산동 952-14,37.479235,126.901735
DNA서부기동점,서울 영등포구 신길동 215-5,37.511269,126.912167
모자인,서울 마포구 창전동 15-9,37.549769,126.931869
DNA종합모터스,서울 동대문구 답십리동 1-45,37.574168,127.066834
CU신림카페점,서울 관악구 신림로 228,37.477704,126.936146
CU명지전문대점,서울 서대문구 홍은동 346-2,37.584299,126.923816
